id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47482478,Fantastic 2 BR flat near to the lake (D10),23561865,Dimi,Kreis 8,Mühlebach,47.35771,8.55491,Entire home/apt,204,2,103,2025-07-27,1.89,133,46,15,
47514317,Charming Maisonette with Private Roof Terrace,3950335,Andrea,Kreis 3,Sihlfeld,47.37381362915039,8.513824462890625,Entire home/apt,,4,4,2023-10-06,0.10,1,0,0,
47557070,Zurich Apt 21 Chez Gérard - Kreis 1,63526682,Gerard,Kreis 1,Rathaus,47.37441,8.54372,Entire home/apt,109,3,306,2025-09-17,5.37,2,196,71,
47589979,Apartment with Spectacular Lake View,263856201,Juerg & Valeria,Kreis 7,Witikon,47.36123,8.58195,Entire home/apt,315,28,46,2025-08-16,0.85,2,61,17,
47791522,Luminous flat with a beautiful view,4816094,Tina&Sasha,Kreis 10,Höngg,47.40411,8.4951,Entire home/apt,,5,0,,,2,0,0,
47857524,WG-Zimmer in grosszügiger Wohnung in Oerlikon,143958179,Luisa,Kreis 11,Seebach,47.41317,8.55678,Private room,,1,1,2021-02-04,0.02,1,0,0,
47883170,"2,5-Zimmerwohnung im luxuriösen Metropolitans",21881164,Marijana,Kreis 11,Seebach,47.41831,8.557,Entire home/apt,200,14,0,,,1,80,0,
47946509,Privates Zimmer in riesen Wohnung,54654553,Julian,Kreis 9,Altstetten,47.38287,8.49512,Private room,,4,2,2021-03-14,0.04,1,0,0,
47975721,Sophisticated apartment in the heart of Zurich,17758318,Manoel,Kreis 7,Hottingen,47.36769,8.5526,Entire home/apt,207,3,180,2025-09-05,3.20,1,140,27,
47985660,Seefeld Spacious 1 Bedroom Modern Design Apartment,20526865,Shiran,Kreis 8,Weinegg,47.35544,8.56256,Entire home/apt,,3,0,,,1,0,0,
47987004,bis zu 12 Gäste - 7 Schlafzimmer - 400m zum HB,119277813,Deniz,Kreis 1,Rathaus,47.37447,8.54341,Entire home/apt,,2,0,,,1,0,0,
48022066,Doppelzimmer - Josephine's Guesthouse (WOMEN ONLY),387105321,Anja,Kreis 4,Langstrasse,47.37328,8.52808,Private room,248,1,184,2025-07-12,3.30,4,329,8,
48022280,Einzelzimmer - Josephine's Guesthouse (WOMEN ONLY),387105321,Anja,Kreis 4,Langstrasse,47.37353,8.52882,Private room,,1,97,2025-08-12,1.74,4,16,10,
48048562,Good morning Zurich!,136795426,Karenina,Kreis 10,Höngg,47.39784,8.51426,Private room,,14,2,2023-04-07,0.06,1,0,0,
48111383,Zimmer im Zentrum von Zürich (Room in the center),66614103,Ziroli,Kreis 4,Langstrasse,47.3771,8.52581,Private room,,2,0,,,1,0,0,
48143955,Home office/private room (Long T. poss. in privat),388282279,Wi,Kreis 9,Altstetten,47.39418,8.48857,Private room,55,1,217,2025-09-02,3.90,1,5,49,
48372051,Spacious flat close to Letzigrund,73388609,Olivier,Kreis 3,Sihlfeld,47.37556,8.50166,Entire home/apt,,2,0,,,1,0,0,
48409976,Generous room in Wipkingen,4450296,Mana,Kreis 6,Unterstrass,47.39556,8.53297,Private room,,2,6,2021-07-18,0.11,1,0,0,
48500731,Modern apartment In Zurich-Oerlikon,88856280,Thomas,Kreis 11,Seebach,47.41739,8.54429,Entire home/apt,,30,1,2021-05-09,0.02,1,0,0,
48656815,Private room in Zurich Wipkingen,48038988,Lukas,Kreis 10,Wipkingen,47.39339828491211,8.528298377990723,Private room,,30,5,2024-02-15,0.10,1,0,0,
48778345,"Centrally located, cozy studio with rooftop access",74176096,Madeleine,Kreis 4,Werd,47.37212,8.52414,Entire home/apt,,21,0,,,1,0,0,
48808760,Loft-style studio in Zurich city center,53736232,Heta,Kreis 2,Enge,47.36679,8.53476,Entire home/apt,,90,0,,,1,0,0,
